LoanID,StudentID,FirstName,LastName,ItemID,ItemName,ItemCategory,CheckoutDate,ExpectedReturnDate,ActualReturnDate
1,103,Joe,Johnson,8,Epson PowerLite Projector,projector,2025-09-01,2025-09-22,2025-09-24
2,102,Jane,Doe,1,Dell Latitude Laptop,laptop,2025-09-03,2025-09-10,2025-09-09
3,108,Diego,Ramirez,6,Shure MV7 Microphone,microphone,2025-09-06,2025-09-13,2025-09-14
4,105,Grace,Pham,8,Epson PowerLite Projector,projector,2025-09-08,2025-09-15,2025-09-12
5,102,Jane,Doe,4,Canon EOS R50 Camera,camera,2025-09-08,2025-09-29,2025-10-01
6,104,Maria,Garcia,1,Dell Latitude Laptop,laptop,2025-09-09,2025-09-30,2025-09-23
7,106,Tyler,Brooks,9,BenQ TH685 Projector,projector,2025-09-16,2025-09-23,2025-09-26
8,103,Joe,Johnson,8,Epson PowerLite Projector,projector,2025-09-16,2025-09-23,2025-09-21
9,105,Grace,Pham,4,Canon EOS R50 Camera,camera,2025-09-19,2025-10-10,2025-09-29
10,104,Maria,Garcia,3,Lenovo ThinkPad Laptop,laptop,2025-09-22,2025-10-13,2025-10-01
11,107,Nia,Owens,9,BenQ TH685 Projector,projector,2025-09-27,2025-10-18,2025-10-02
12,107,Nia,Owens,1,Dell Latitude Laptop,laptop,2025-10-01,2025-10-08,2025-10-05
13,101,John,Smith,10,iPad Air Tablet,tablet,2025-10-01,2025-10-15,2025-10-11
14,107,Nia,Owens,6,Shure MV7 Microphone,microphone,2025-10-03,2025-10-17,2025-10-21
15,105,Grace,Pham,10,iPad Air Tablet,tablet,2025-10-05,2025-10-12,2025-10-09
16,103,Joe,Johnson,4,Canon EOS R50 Camera,camera,2025-10-06,2025-10-20,2025-10-11
17,105,Grace,Pham,4,Canon EOS R50 Camera,camera,2025-10-08,2025-10-15,2025-10-11
18,102,Jane,Doe,6,Shure MV7 Microphone,microphone,2025-10-13,2025-10-27,2025-10-30
19,104,Maria,Garcia,1,Dell Latitude Laptop,laptop,2025-10-14,2025-10-21,2025-10-19
20,105,Grace,Pham,7,Rode Wireless GO II,microphone,2025-10-15,2025-11-05,2025-11-05
21,103,Joe,Johnson,2,MacBook Air Laptop,laptop,2025-10-17,2025-10-31,2025-10-24
22,108,Diego,Ramirez,7,Rode Wireless GO II,microphone,2025-10-19,2025-11-09,2025-11-09
23,103,Joe,Johnson,1,Dell Latitude Laptop,laptop,2025-10-22,2025-10-29,2025-11-01
24,106,Tyler,Brooks,6,Shure MV7 Microphone,microphone,2025-10-26,2025-11-02,2025-10-29
25,102,Jane,Doe,9,BenQ TH685 Projector,projector,2025-10-26,2025-11-02,2025-11-02
